Time,SensorName,5G Availability (%),5G_DL_Data_Volume,5G_Num_of_User,Pkt_Loss_rate (%),5g_dl_throughput,5G_UL_Data_Volume,5g_ul_throughput
01-Mar-20,Z78NJ853B,100,0,1,0,83,0.0004,0
01-Mar-20,Z78JD823B,100,192.26,0,0,2.5,0.0382,15.9
01-Mar-20,Z78RI674A,100,277.22,1,0.02,97.52,7.69,38.8
01-Mar-20,Z78NJ853C,100,74.17,1,0.16,7.8,0.1685,4.8
01-Mar-20,Z78RI674B,100,196.57,1,0.04,3.25,240.19,219.1
01-Mar-20,Z78JD823A,100,176.08,1,0.27,8.71,191.93,6.9
01-Mar-20,Z78RI674C,100,292.61,1,0.1,23.66,0.6436,14
01-Mar-20,Z78NJ720C,100,206,2,0,40.98,701.03,7.9
01-Mar-20,Z78NJ720B,100,75.74,0,0,153.02,0.1349,52.5
01-Mar-20,Z78RY069A,100,129.42,1,20.83,552.72,11.53,10.8
01-Mar-20,Z78RI794A,100,134.35,1,0.76,750.58,0.483,64.7
01-Mar-20,Z78NJ350C,100,74.51,0,100,62.69,2.12,171.4
01-Mar-20,Z78NJ853A,100,0,1,0,2.15,0.0304,2.93
01-Mar-20,Z78RI661A,100,213.84,1,0.02,72.38,0.5721,1.3
01-Mar-20,Z78RY069B,100,123.78,1,12.39,81.36,1.35,17.7
01-Mar-20,Z78NJ720A,100,190.16,1,17.58,2.26,1.73,23.3
01-Mar-20,Z78RI794B,100,197.38,1,0.05,34.93,0.6244,860
01-Mar-20,Z78MD977C,100,31.03,0,3.07,15.79,0.2116,158.8
01-Mar-20,Z78NJ746B,100,185.73,1,0,14.62,0.6383,1.9
01-Mar-20,Z78NJ626C,100,235.4,0,0,5.19,6.47,2.84
02-Mar-20,Z78NJ853B,100,0,0,0,0,0,0
02-Mar-20,Z78JD823B,100,0,0,0,87,0,0
02-Mar-20,Z78RI674A,100,243.6,1,0.04,29.84,1.43,6.5
02-Mar-20,Z78NJ853C,100,278.85,1,0.03,48.56,7.81,75.5
02-Mar-20,Z78RI674B,100,166.88,1,0,1.85,62.57,15.6
02-Mar-20,Z78JD823A,100,139.95,1,0.06,11.1,299.04,6.9
02-Mar-20,Z78RI674C,100,593.24,1,0,9.33,0.2345,5.8
02-Mar-20,Z78NJ720C,100,153.18,1,0.01,38.34,999.85,10.3
02-Mar-20,Z78NJ720B,100,72.86,0,0,30.36,3.32,7.55
02-Mar-20,Z78RY069A,100,89.17,1,20,351.81,6.02,6.5
02-Mar-20,Z78RI794A,100,248.99,1,35.83,15.48,2.68,29.4
02-Mar-20,Z78NJ350C,100,145.1,0,3.17,23.79,0.9023,21.1
02-Mar-20,Z78NJ853A,100,126.46,1,0,7.91,0.4597,13.6
02-Mar-20,Z78RI661A,100,258.37,1,12.28,137.08,2.56,7.3
02-Mar-20,Z78RY069B,100,110.1,1,100,121.2,2.07,19.9
02-Mar-20,Z78NJ720A,100,179.73,1,8.94,4.09,4.9,24.5
02-Mar-20,Z78RI794B,100,124.5,1,0,9.85,2.88,140.4
02-Mar-20,Z78MD977C,100,310.29,0,1.12,122.78,2.88,225.9
02-Mar-20,Z78NJ746B,100,72.64,1,0,3.99,0.0809,2.93
02-Mar-20,Z78NJ626C,100,241.3,0,0.47,5.25,0.0965,2
03-Mar-20,Z78NJ853B,100,0,1,0,344.8,0.0082,0
03-Mar-20,Z78JD823B,100,0,0,0,122.9,0,0
03-Mar-20,Z78RI674A,100,55.94,1,0.21,23.79,0.5207,4
03-Mar-20,Z78NJ853C,100,684.93,1,0,1.01,62.06,5.62
03-Mar-20,Z78RI674B,100,155.41,1,0.01,700.96,25.62,16.4
03-Mar-20,Z78JD823A,100,106.75,1,0.08,15.72,316.76,17.1
03-Mar-20,Z78RI674C,100,128.12,1,0.11,24.72,0.5668,1.5
03-Mar-20,Z78NJ720C,100,191.94,2,0.06,41.27,809.94,67.9
03-Mar-20,Z78NJ720B,100,408.14,0,0,3.35,45.04,3.12
03-Mar-20,Z78RY069A,100,91.28,1,54.94,395.33,9.3,16.3
03-Mar-20,Z78RI794A,100,255.94,1,19.54,24.43,3.38,485
03-Mar-20,Z78NJ350C,100,185.28,0,0,23.86,0.6104,3
03-Mar-20,Z78NJ853A,100,56.08,1,0,3.42,0.0381,2.93
03-Mar-20,Z78RI661A,100,92.13,1,0.83,19.51,0.5218,4.9
03-Mar-20,Z78RY069B,100,117.58,1,45.83,45.28,1.05,13.1
