Date,Last,Open,Max,Min,Volume, variation (%)
03.01.2022,8761.2,8729.7,8808.1,8725,117.5,0.54
04.01.2022,8795.8,8821.6,8834.1,8784.7,192.38,0.39
05.01.2022,8790.8,8799.6,8821.6,8768.1,146.05,-0.06
06.01.2022,8789.9,8664.6,8789.9,8628.9,174.96,-0.01
07.01.2022,8751.8,8781.9,8796.5,8709.5,170.22,-0.43
10.01.2022,8706.9,8771.4,8775.4,8679.5,183.56,-0.51
11.01.2022,8755.9,8726.8,8790,8719,169.26,0.56
12.01.2022,8770.3,8803.1,8804.1,8754.8,164.26,0.16
13.01.2022,8816.9,8755.9,8817.1,8750.3,155.32,0.53
14.01.2022,8806.6,8767.4,8810.1,8739.7,158.55,-0.12
17.01.2022,8838.7,8848.4,8866.6,8829.4,136.56,0.36
18.01.2022,8781.6,8811,8820.9,8761.8,158.13,-0.65
19.01.2022,8774.9,8758.6,8856.9,8749,226.23,-0.08
20.01.2022,8814.6,8783.3,8825.7,8737.8,162.95,0.45
21.01.2022,8694.7,8702.3,8760.8,8622.1,227.84,-1.36
24.01.2022,8417.8,8660,8673.5,8361.4,275.31,-3.18
25.01.2022,8479.5,8488.4,8529.9,8408.9,200.73,0.73
26.01.2022,8620.2,8526.6,8696.4,8525.6,206.01,1.66
27.01.2022,8706,8503.6,8740.6,8489.8,267.82,1
28.01.2022,8609.8,8705.7,8713.1,8515,187.56,-1.1
31.01.2022,8612.8,8697.1,8705.1,8564.6,213.54,0.03
01.02.2022,8726.7,8679.9,8745.1,8665,208.66,1.32
02.02.2022,8713.2,8782.9,8785.2,8713.2,182.82,-0.15
03.02.2022,8689.4,8694.4,8735.6,8660.1,276.25,-0.27
04.02.2022,8589.3,8741.6,8770.1,8551.1,314.16,-1.15
07.02.2022,8558.4,8646.3,8649.8,8509,255.6,-0.36
08.02.2022,8674.6,8576.4,8702.3,8572.5,282.9,1.36
09.02.2022,8846.4,8736.3,8850.2,8716.9,262.48,1.98
10.02.2022,8886.2,8871.5,8912.2,8819.1,281.27,0.45
11.02.2022,8798.1,8797.3,8833.5,8766.5,213.21,-0.99
14.02.2022,8573.8,8583.9,8643.2,8504.5,310.67,-2.55
15.02.2022,8718,8533.3,8721.1,8521.2,207.32,1.68
16.02.2022,8737.2,8735.3,8798,8678.2,171.25,0.22
17.02.2022,8671.1,8713,8749.7,8631.8,171.63,-0.76
18.02.2022,8590,8678.9,8708,8564.1,189.69,-0.94
21.02.2022,8488.9,8638.8,8666.4,8439,164.76,-1.18
22.02.2022,8493.2,8295.2,8551.1,8262.6,231.61,0.05
23.02.2022,8440.1,8519.1,8607.5,8410.7,190.89,-0.63
24.02.2022,8198.5,8084.2,8254.2,8048,526.12,-2.86
25.02.2022,8486.6,8242.9,8496.5,8188.1,381.38,3.51
28.02.2022,8479.2,8302.8,8500.4,8286.9,396.64,-0.09
01.03.2022,8188.2,8462.1,8510.3,8188.2,360.17,-3.43
02.03.2022,8321,8145.9,8371,8071.2,339.7,1.62
03.03.2022,8011.4,8296.1,8349.6,7978.4,297.39,-3.72
04.03.2022,7720.9,7988.5,8000.2,7719,395.65,-3.63
07.03.2022,7644.6,7510.4,7769.7,7287.7,469.18,-0.99
08.03.2022,7783.4,7569.8,7923.7,7566.1,372.8,1.82
09.03.2022,8163.1,8043.4,8163.1,7976.3,358.26,4.88
10.03.2022,8069.3,8166.5,8197.1,7997.2,320.3,-1.15
11.03.2022,8142.1,8115.3,8375.3,8068.1,333.21,0.9
14.03.2022,8234.4,8228.9,8313.4,8190.3,236.74,1.13
15.03.2022,8236.1,8150.2,8286.7,8092.7,238.01,0.02
16.03.2022,8380.4,8375.7,8475.5,8324.6,331.7,1.75
17.03.2022,8412,8409.5,8445.8,8317.4,243.53,0.38
18.03.2022,8417.6,8422.4,8434.1,8309.2,336.65,0.07
21.03.2022,8389.2,8417.3,8465.6,8389.2,149.78,-0.34
22.03.2022,8487.2,8415.7,8487.2,8400.7,176.35,1.17
23.03.2022,8328.4,8509.6,8522.2,8328.4,184.04,-1.87
24.03.2022,8305.1,8352.1,8380,8274.5,175.54,-0.28
25.03.2022,8330.6,8314.1,8363.2,8286.5,156.19,0.31
28.03.2022,8365.6,8354.4,8485.7,8354.4,167.96,0.42
29.03.2022,8614.6,8451,8621,8419.7,257.81,2.98
30.03.2022,8550.6,8583.3,8597.4,8508.9,185.39,-0.74
31.03.2022,8445.1,8562.6,8588.3,8445.1,220.12,-1.23
01.04.2022,8503.7,8481.7,8533,8442.8,150.41,0.69
04.04.2022,8520.8,8536.1,8546.4,8432.9,141.86,0.2
05.04.2022,8623.3,8529.8,8640.3,8505.7,180.39,1.2
06.04.2022,8482.1,8600.6,8635.6,8418,273.33,-1.64
07.04.2022,8467.4,8512.7,8635.2,8451,223.34,-0.17
08.04.2022,8606.4,8562.2,8625.3,8543.1,175.19,1.64
11.04.2022,8585,8580.9,8637.2,8544,167.8,-0.25
12.04.2022,8578,8469.8,8612.4,8446.3,194.8,-0.08
13.04.2022,8617.8,8533.4,8617.8,8532.9,161.72,0.46
14.04.2022,8699,8626.3,8756.8,8606,172.58,0.94
19.04.2022,8694,8677,8722.2,8619.1,157.02,-0.06
20.04.2022,8769.5,8713.4,8816.2,8706.8,188.72,0.87
21.04.2022,8814.6,8791.6,8877.7,8774.6,208.12,0.51
22.04.2022,8652.3,8712.5,8788.7,8652.3,220.99,-1.84
25.04.2022,8574.6,8535.6,8656.1,8511.1,189.83,-0.9
26.04.2022,8439.3,8687.7,8703.8,8435.3,321.48,-1.58
27.04.2022,8477.7,8458.8,8506.9,8344.9,243.35,0.46
28.04.2022,8512.2,8515.8,8554.9,8415.8,234.74,0.41
29.04.2022,8584.2,8572.1,8617.3,8526,218.57,0.85
02.05.2022,8436,8516.6,8563.2,8350,158.84,-1.73
