POD ID, TIME, MILLICORES, MEM USAGE, MEM LIMIT, MEM(%) , NET I/O, LOCK I/O, PIDS
redis-65d8857849-9n6lp,23/01/2025 19:58,3,10.18,15.44,0.06,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,2,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,510.1,901.8,15.44,5.7,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.6,1014,15.44,6.41,0,0,95
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,23,73.84,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,68.6,29.64,15.44,0.19,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,1.4,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,496.7,901.8,15.44,5.7,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.2,1014,15.44,6.41,0,0,95
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,139.3,74.75,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,64.2,71.21,15.44,0.45,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,1.5,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,410.5,984.4,15.44,6.22,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.3,1014,15.44,6.41,0,0,95
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,143.4,74.78,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,69.3,77.28,15.44,0.49,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,1.7,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,469.2,986.1,15.44,6.23,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.4,1014,15.44,6.41,0,0,95
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,67.1,74.92,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,73.9,76.85,15.44,0.49,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,2.2,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,459.3,989.7,15.44,6.26,0,0,96
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.5,1014,15.44,6.41,0,0,94
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,70.9,74.95,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,70.7,77.18,15.44,0.49,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,2.2,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,487,989.7,15.44,6.26,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.5,1014,15.44,6.41,0,0,94
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,66.7,75,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,3.9,77.18,15.44,0.49,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,5.6,357.3,15.44,2.26,0,0,49
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,446.5,989.7,15.44,6.26,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.6,1014,15.44,6.41,0,0,94
postgres-7b7f6d75f9-q5dvq,23/01/2025 19:58,466.9,75.04,15.44,0.47,0,0,29
redis-65d8857849-9n6lp,23/01/2025 19:58,3.7,76.13,15.44,0.48,0,0,6
analyzer-79d4c78db5-g626p,23/01/2025 19:58,2.5,357.3,15.44,2.26,0,0,48
crud-rest-7c7fd547c9-rs5hs,23/01/2025 19:58,461.4,989.9,15.44,6.26,0,0,95
datainjector-98ccb8f89-wr5hg,23/01/2025 19:58,1.6,1014,15.44,6.41,0,0,94
